pairID,sentenceID,isCorrect,isPun,relatedness,order,wordOrder,condition,workderID,age,gender,native
1,1,0,0,-0.801810907717901,81,0,1,A2EEUQ0YY2XIU,45,M,English
5,2,1,0,-0.20487912783959,99,0,1,A2EEUQ0YY2XIU,45,M,English
9,3,0,0,2.18284799167366,108,0,1,A2EEUQ0YY2XIU,45,M,English
8,3,1,0,-0.20487912783959,12,1,1,A2EEUQ0YY2XIU,45,M,English
18,5,0,0,-0.801810907717901,1,1,1,A2EEUQ0YY2XIU,45,M,English
17,5,1,0,-0.801810907717901,72,0,1,A2EEUQ0YY2XIU,45,M,English
24,6,0,0,-0.801810907717901,102,1,1,A2EEUQ0YY2XIU,45,M,English
26,7,1,0,1.8843821017345,7,1,1,A2EEUQ0YY2XIU,45,M,English
34,9,0,0,-0.20487912783959,85,0,1,A2EEUQ0YY2XIU,45,M,English
39,9,1,0,1.8843821017345,73,1,1,A2EEUQ0YY2XIU,45,M,English
41,10,0,0,-0.503345017778746,45,1,1,A2EEUQ0YY2XIU,45,M,English
45,11,1,0,-0.801810907717901,62,0,1,A2EEUQ0YY2XIU,45,M,English
50,12,0,0,-0.801810907717901,41,0,1,A2EEUQ0YY2XIU,45,M,English
54,13,1,0,0.690518541977877,89,1,1,A2EEUQ0YY2XIU,45,M,English
57,14,0,0,-0.801810907717901,23,0,1,A2EEUQ0YY2XIU,45,M,English
62,15,1,0,0.690518541977877,79,1,1,A2EEUQ0YY2XIU,45,M,English
65,16,0,0,-0.801810907717901,27,1,1,A2EEUQ0YY2XIU,45,M,English
68,16,1,0,-0.801810907717901,40,0,1,A2EEUQ0YY2XIU,45,M,English
75,17,0,0,-0.801810907717901,103,0,1,A2EEUQ0YY2XIU,45,M,English
73,17,1,0,-0.20487912783959,6,1,1,A2EEUQ0YY2XIU,45,M,English
80,19,0,0,-0.801810907717901,87,0,1,A2EEUQ0YY2XIU,45,M,English
83,19,1,0,-0.801810907717901,80,0,1,A2EEUQ0YY2XIU,45,M,English
88,20,0,0,-0.801810907717901,51,1,1,A2EEUQ0YY2XIU,45,M,English
89,20,1,0,-0.801810907717901,90,1,1,A2EEUQ0YY2XIU,45,M,English
97,22,0,0,-0.801810907717901,19,1,1,A2EEUQ0YY2XIU,45,M,English
100,23,0,0,1.58591621179534,16,1,1,A2EEUQ0YY2XIU,45,M,English
101,23,1,0,0.690518541977877,36,1,1,A2EEUQ0YY2XIU,45,M,English
111,25,0,0,1.8843821017345,33,0,1,A2EEUQ0YY2XIU,45,M,English
108,25,1,0,0.690518541977877,67,0,1,A2EEUQ0YY2XIU,45,M,English
115,26,1,0,-0.801810907717901,91,0,1,A2EEUQ0YY2XIU,45,M,English
121,27,0,0,2.18284799167366,96,1,1,A2EEUQ0YY2XIU,45,M,English
125,28,1,0,-0.20487912783959,111,0,1,A2EEUQ0YY2XIU,45,M,English
126,29,0,0,2.18284799167366,77,0,1,A2EEUQ0YY2XIU,45,M,English
134,30,1,0,-0.801810907717901,115,0,1,A2EEUQ0YY2XIU,45,M,English
140,31,0,0,-0.503345017778746,93,1,1,A2EEUQ0YY2XIU,45,M,English
141,31,1,0,-0.801810907717901,114,1,1,A2EEUQ0YY2XIU,45,M,English
145,32,0,0,-0.503345017778746,13,1,1,A2EEUQ0YY2XIU,45,M,English
151,33,1,0,-0.801810907717901,32,1,1,A2EEUQ0YY2XIU,45,M,English
153,34,0,0,-0.801810907717901,56,1,1,A2EEUQ0YY2XIU,45,M,English
159,35,1,0,0.392052652038721,47,1,1,A2EEUQ0YY2XIU,45,M,English
161,37,0,0,1.8843821017345,86,1,1,A2EEUQ0YY2XIU,45,M,English
162,37,1,0,0.690518541977877,83,0,1,A2EEUQ0YY2XIU,45,M,English
170,38,0,0,1.58591621179534,42,1,1,A2EEUQ0YY2XIU,45,M,English
173,39,1,0,0.690518541977877,61,1,1,A2EEUQ0YY2XIU,45,M,English
181,40,0,0,-0.801810907717901,50,1,1,A2EEUQ0YY2XIU,45,M,English
180,40,1,0,-0.801810907717901,101,0,1,A2EEUQ0YY2XIU,45,M,English
185,41,0,1,0.690518541977877,10,0,1,A2EEUQ0YY2XIU,45,M,English
188,42,1,1,-0.801810907717901,78,1,1,A2EEUQ0YY2XIU,45,M,English
193,43,0,1,1.58591621179534,70,0,1,A2EEUQ0YY2XIU,45,M,English
199,43,1,1,-0.801810907717901,110,0,1,A2EEUQ0YY2XIU,45,M,English
200,44,0,1,0.690518541977877,9,1,1,A2EEUQ0YY2XIU,45,M,English
204,45,1,1,-0.801810907717901,94,1,1,A2EEUQ0YY2XIU,45,M,English
208,46,0,1,2.18284799167366,106,0,1,A2EEUQ0YY2XIU,45,M,English
212,47,1,1,0.690518541977877,71,0,1,A2EEUQ0YY2XIU,45,M,English
219,48,0,1,1.58591621179534,104,0,1,A2EEUQ0YY2XIU,45,M,English
223,49,1,1,1.28745032185619,43,1,1,A2EEUQ0YY2XIU,45,M,English
224,50,0,1,-0.801810907717901,64,0,1,A2EEUQ0YY2XIU,45,M,English
230,51,1,1,-0.801810907717901,53,1,1,A2EEUQ0YY2XIU,45,M,English
234,52,0,1,0.690518541977877,98,1,1,A2EEUQ0YY2XIU,45,M,English
236,53,1,1,0.690518541977877,92,0,1,A2EEUQ0YY2XIU,45,M,English
239,54,0,1,-0.801810907717901,97,1,1,A2EEUQ0YY2XIU,45,M,English
245,55,1,1,-0.20487912783959,112,0,1,A2EEUQ0YY2XIU,45,M,English
248,57,0,1,-0.20487912783959,44,0,1,A2EEUQ0YY2XIU,45,M,English
251,58,1,1,-0.801810907717901,28,0,1,A2EEUQ0YY2XIU,45,M,English
257,60,0,1,0.093586762099566,37,0,1,A2EEUQ0YY2XIU,45,M,English
260,61,1,1,-0.801810907717901,117,1,1,A2EEUQ0YY2XIU,45,M,English
