sentenceID,isCorrect,pairID,word1,word2,relatedness,word1_index,word2_index,distance,sentence
1,0,1,atheism,prophet,0.212970834416913,0,4,-4,atheism is a non prophet organization
1,0,2,non,prophet,-0.779943058250298,3,4,-1,atheism is a non prophet organization
1,0,3,organization,prophet,-0.315206882747317,5,4,1,atheism is a non prophet organization
2,0,4,circumference,pi,1.27193586016228,4,8,-4,i get my large circumference from too much pi
2,0,5,large,pi,-0.048889565836259,3,8,-5,i get my large circumference from too much pi
2,0,6,much,pi,-0.316593921901783,7,8,-1,i get my large circumference from too much pi
3,0,7,baker,knead,1.41355339919079,0,6,-6,bakers trade bread recipes on a knead to know basis
3,0,8,basis,knead,-0.754514916649654,9,6,3,bakers trade bread recipes on a knead to know basis
3,0,9,bread,knead,1.45620579262288,2,6,-4,bakers trade bread recipes on a knead to know basis
3,0,10,know,knead,-0.977045746381195,8,6,2,bakers trade bread recipes on a knead to know basis
3,0,11,recipe,knead,0.866398656745918,0,6,-6,bakers trade bread recipes on a knead to know basis
3,0,12,trade,knead,-0.66611011280683,1,6,-5,bakers trade bread recipes on a knead to know basis
4,0,13,choose,oar,-0.621176828220049,5,7,-2,the indecisive rower could not choose either oar
4,0,14,either,oar,-0.817415912078897,6,7,-1,the indecisive rower could not choose either oar
4,0,15,indecisive,oar,-0.886550122888529,1,7,-6,the indecisive rower could not choose either oar
4,0,16,rower,oar,1.51772650409791,2,7,-5,the indecisive rower could not choose either oar
5,0,17,cake,tier,0.846589749037438,7,10,-3,it was an emotional wedding even the cake was in tiers
5,0,18,emotional,tier,-0.570508583521174,3,10,-7,it was an emotional wedding even the cake was in tiers
5,0,19,even,tier,0.174805833866074,5,10,-5,it was an emotional wedding even the cake was in tiers
5,0,20,wedding,tier,0.457995185518359,4,10,-6,it was an emotional wedding even the cake was in tiers
6,0,21,conduct,poll,0.771880233844757,5,8,-3,a new country decided to conduct a flag poll
6,0,22,country,poll,0.176479716288564,2,8,-6,a new country decided to conduct a flag poll
6,0,23,decide,poll,-0.609642823120879,3,8,-5,a new country decided to conduct a flag poll
6,0,24,flag,poll,0.066849233147248,7,8,-1,a new country decided to conduct a flag poll
6,0,25,new,poll,-0.291702180374532,1,8,-7,a new country decided to conduct a flag poll
7,0,26,chairman,bored,-0.438220726243671,7,10,-3,at some executive meetings there is a chairman of the bored
7,0,27,executive,bored,0.131752393415876,2,10,-8,at some executive meetings there is a chairman of the bored
7,0,28,meetings,bored,0.476620883815132,3,10,-7,at some executive meetings there is a chairman of the bored
8,0,29,donut,greece,-0.747574590891916,4,9,-5,did you know that donuts were first made in greece
8,0,30,first,greece,-0.367145191414409,6,9,-3,did you know that donuts were first made in greece
8,0,31,know,greece,-0.628334900018039,2,9,-7,did you know that donuts were first made in greece
8,0,32,made,greece,-0.402622492632511,7,9,-2,did you know that donuts were first made in greece
9,0,33,above,sine,-0.728519927323733,14,12,2,i always prayed before my trigonometry tests i was hoping for a sine from above
9,0,34,always,sine,-0.815121699369387,1,12,-11,i always prayed before my trigonometry tests i was hoping for a sine from above
9,0,35,before,sine,-0.336899979909447,3,12,-9,i always prayed before my trigonometry tests i was hoping for a sine from above
9,0,36,hoping,sine,-0.817280033323014,9,12,-3,i always prayed before my trigonometry tests i was hoping for a sine from above
9,0,37,prayed,sine,-0.909208080442562,2,12,-10,i always prayed before my trigonometry tests i was hoping for a sine from above
9,0,38,test,sine,-0.173873377044911,6,12,-6,i always prayed before my trigonometry tests i was hoping for a sine from above
9,0,39,trigonometry,sine,1.46768639562691,5,12,-7,i always prayed before my trigonometry tests i was hoping for a sine from above
10,0,40,dislike,principal,0.009964760535553,5,10,-5,it was not school john disliked it was just the principal of it
10,0,41,john,principal,-0.302361145865677,4,10,-6,it was not school john disliked it was just the principal of it
10,0,42,school,principal,1.73631632190123,3,10,-7,it was not school john disliked it was just the principal of it
11,0,43,music,cd,1.75823618229048,1,6,-5,some music stores are in a cd part of town
11,0,44,part,cd,-0.513742868339641,7,6,1,some music stores are in a cd part of town
11,0,45,store,cd,1.0936602079745,2,6,-4,some music stores are in a cd part of town
11,0,46,town,cd,-0.777168646242943,9,6,3,some music stores are in a cd part of town
12,0,47,mad,hare,-0.372814037663931,4,8,-4,the magician got so mad he pulled his hare out
12,0,48,magician,hare,0.480614666665408,1,8,-7,the magician got so mad he pulled his hare out
12,0,49,out,hare,-0.783945763902641,9,8,1,the magician got so mad he pulled his hare out
12,0,50,pulled,hare,-0.718077284983201,6,8,-2,the magician got so mad he pulled his hare out
13,0,51,admonished,knotty,-0.681502204920682,5,13,-8,the young pine sapling was admonished by his father apparently he had been knotty
13,0,52,apparently,knotty,-0.859038510339086,9,13,-4,the young pine sapling was admonished by his father apparently he had been knotty
13,0,53,father,knotty,-0.957404058374754,8,13,-5,the young pine sapling was admonished by his father apparently he had been knotty
13,0,54,pine,knotty,0.186427140223222,2,13,-11,the young pine sapling was admonished by his father apparently he had been knotty
13,0,55,sapling,knotty,-0.267658057066485,3,13,-10,the young pine sapling was admonished by his father apparently he had been knotty
13,0,56,young,knotty,-0.898306565899094,1,13,-12,the young pine sapling was admonished by his father apparently he had been knotty
14,0,57,learn,taut,-0.701849637276055,1,8,-7,to learn rope tricks you have to be taut
14,0,58,rope,taut,0.823133524033699,2,8,-6,to learn rope tricks you have to be taut
14,0,59,trick,taut,-0.819567385416993,3,8,-5,to learn rope tricks you have to be taut
15,0,60,class,marx,0.291062991843603,5,9,-4,i dropped out of communism class because of lousy marx
15,0,61,communism,marx,1.484117772585,4,9,-5,i dropped out of communism class because of lousy marx
15,0,62,drop,marx,-0.974134049602003,1,9,-8,i dropped out of communism class because of lousy marx
15,0,63,lousy,marx,-0.447405577960524,8,9,-1,i dropped out of communism class because of lousy marx
15,0,64,out,marx,-0.690879394798797,2,9,-7,i dropped out of communism class because of lousy marx
16,0,65,boy,hi,-0.601338814847851,1,10,-9,a boy who instinctively waves at people has a natural hi
16,0,66,instinctively,hi,-0.753637514649243,3,10,-7,a boy who instinctively waves at people has a natural hi
16,0,67,natural,hi,-0.717051055168573,9,10,-1,a boy who instinctively waves at people has a natural hi
16,0,68,people,hi,0.2543776500543,6,10,-4,a boy who instinctively waves at people has a natural hi
16,0,69,wave,hi,0.960027098316622,4,10,-6,a boy who instinctively waves at people has a natural hi
17,0,70,end,daze,-0.793870186343594,9,13,-4,a teacher having a tough time longs for the end of the school daze
17,0,71,having,daze,-0.821772754723475,2,13,-11,a teacher having a tough time longs for the end of the school daze
17,0,72,long,daze,-0.365334239586843,6,13,-7,a teacher having a tough time longs for the end of the school daze
17,0,73,school,daze,0.009049183208419,12,13,-1,a teacher having a tough time longs for the end of the school daze
17,0,74,teacher,daze,-0.449397166445749,1,13,-12,a teacher having a tough time longs for the end of the school daze
17,0,75,time,daze,-0.427734704492132,5,13,-8,a teacher having a tough time longs for the end of the school daze
17,0,76,tough,daze,-0.447304647490349,4,13,-9,a teacher having a tough time longs for the end of the school daze
18,0,77,author,prose,1.21854723251659,0,5,-5,authors in jail have their prose and cons
18,0,78,con,prose,-0.988175325203342,7,5,2,authors in jail have their prose and cons
18,0,79,jail,prose,-0.818689906539946,2,5,-3,authors in jail have their prose and cons
19,0,80,eat,plane,-0.543054197801893,4,14,-10,do not expect to eat something fancy when you are flying because it is plane food
19,0,81,expect,plane,-0.627034179882813,2,14,-12,do not expect to eat something fancy when you are flying because it is plane food
19,0,82,fancy,plane,-0.31665950967214,6,14,-8,do not expect to eat something fancy when you are flying because it is plane food
19,0,83,fly,plane,1.59459509492523,10,14,-4,do not expect to eat something fancy when you are flying because it is plane food
19,0,84,food,plane,-0.107567803964099,15,14,1,do not expect to eat something fancy when you are flying because it is plane food
19,0,85,something,plane,-0.7301501425976,5,14,-9,do not expect to eat something fancy when you are flying because it is plane food
20,0,86,beaver,dam,1.43013573007484,3,11,-8,i saw a beaver movie last night it was the best dam movie i have ever seen
20,0,87,best,dam,-0.685682848013475,10,11,-1,i saw a beaver movie last night it was the best dam movie i have ever seen
20,0,88,last,dam,-0.700251215730588,5,11,-6,i saw a beaver movie last night it was the best dam movie i have ever seen
20,0,89,movie,dam,-0.76537102675955,12,11,1,i saw a beaver movie last night it was the best dam movie i have ever seen
20,0,90,movie,dam,-0.723009377177616,12,11,1,i saw a beaver movie last night it was the best dam movie i have ever seen
20,0,91,night,dam,-0.739837466068135,6,11,-5,i saw a beaver movie last night it was the best dam movie i have ever seen
20,0,92,see,dam,-0.578751664389796,1,11,-10,i saw a beaver movie last night it was the best dam movie i have ever seen
21,0,93,computer,hertz,0.421382149003866,1,6,-5,my computer is so slow it hertz
21,0,94,slow,hertz,-0.210378162973284,4,6,-2,my computer is so slow it hertz
22,0,95,actor,role,1.51203583982452,1,12,-11,the actors had one great movie after another they were on a role
22,0,96,another,role,-0.109727419779322,7,12,-5,the actors had one great movie after another they were on a role
22,0,97,great,role,0.037679214736919,4,12,-8,the actors had one great movie after another they were on a role
22,0,98,movie,role,1.50719980103713,5,12,-7,the actors had one great movie after another they were on a role
22,0,99,one,role,-0.174359608089913,3,12,-9,the actors had one great movie after another they were on a role
23,0,100,id,collar,0.455070154516723,16,15,1,the man put his name on the neck of his shirt so he would have collar id
23,0,101,man,collar,0.169665527603799,1,15,-14,the man put his name on the neck of his shirt so he would have collar id
23,0,102,name,collar,-0.239107257359563,4,15,-11,the man put his name on the neck of his shirt so he would have collar id
23,0,103,neck,collar,1.35678822900602,7,15,-8,the man put his name on the neck of his shirt so he would have collar id
23,0,104,put,collar,-0.626225828753545,2,15,-13,the man put his name on the neck of his shirt so he would have collar id
23,0,105,shirt,collar,1.71237068795948,10,15,-5,the man put his name on the neck of his shirt so he would have collar id
