sub_num,condition,tar_num,isPun,abSpl,rating,age,gender
1,1,1,0,0,1.072909948,65,M
1,1,2,0,0,1.529467373,65,M
1,1,3,0,0,-0.296762326,65,M
1,1,6,0,0,1.072909948,65,M
1,1,10,0,0,1.529467373,65,M
1,1,14,0,1,1.072909948,65,M
1,1,16,0,1,-0.753319751,65,M
1,1,17,0,1,-0.753319751,65,M
1,1,18,0,1,0.159795099,65,M
1,1,21,1,0,-0.753319751,65,M
1,1,24,1,0,-0.753319751,65,M
1,1,25,1,0,-0.753319751,65,M
1,1,27,1,0,-0.753319751,65,M
1,1,28,1,0,-0.753319751,65,M
1,1,31,1,1,-0.753319751,65,M
1,1,32,1,1,-0.753319751,65,M
1,1,33,1,1,-0.753319751,65,M
1,1,39,1,1,-0.753319751,65,M
1,1,40,1,1,-0.753319751,65,M
2,1,3,0,0,-0.598841668,35,M
2,1,4,0,0,1.682459923,35,M
2,1,5,0,0,0.541809128,35,M
2,1,6,0,0,1.682459923,35,M
2,1,9,0,0,-0.598841668,35,M
2,1,10,0,0,-0.598841668,35,M
2,1,11,0,1,-0.598841668,35,M
2,1,13,0,1,-0.598841668,35,M
2,1,14,0,1,1.682459923,35,M
2,1,17,0,1,1.682459923,35,M
2,1,18,0,1,-0.598841668,35,M
2,1,21,1,0,-0.598841668,35,M
2,1,23,1,0,-0.598841668,35,M
2,1,24,1,0,-0.598841668,35,M
2,1,27,1,0,1.682459923,35,M
2,1,28,1,0,-0.598841668,35,M
2,1,31,1,1,-0.598841668,35,M
2,1,33,1,1,-0.598841668,35,M
2,1,35,1,1,-0.598841668,35,M
2,1,37,1,1,-0.598841668,35,M
3,1,2,0,0,1.121858163,25,M
3,1,3,0,0,-0.747905442,25,M
3,1,5,0,0,1.745112697,25,M
3,1,6,0,0,-0.124650907,25,M
3,1,9,0,0,1.745112697,25,M
3,1,10,0,0,1.745112697,25,M
3,1,12,0,1,-0.124650907,25,M
3,1,15,0,1,-0.124650907,25,M
3,1,16,0,1,-0.124650907,25,M
3,1,26,1,0,-0.747905442,25,M
3,1,27,1,0,-0.747905442,25,M
3,1,28,1,0,-0.747905442,25,M
3,1,29,1,0,-0.747905442,25,M
3,1,32,1,1,-0.747905442,25,M
3,1,39,1,1,-0.747905442,25,M
3,1,40,1,1,-0.747905442,25,M
4,1,1,0,0,0.565922632,25,F
4,1,2,0,0,1.161630666,25,F
4,1,4,0,0,-0.029785402,25,F
4,1,5,0,0,1.161630666,25,F
4,1,6,0,0,0.565922632,25,F
4,1,8,0,0,0.565922632,25,F
4,1,10,0,0,1.161630666,25,F
4,1,11,0,1,1.161630666,25,F
4,1,14,0,1,-0.625493436,25,F
4,1,18,0,1,-0.029785402,25,F
4,1,19,0,1,-0.029785402,25,F
4,1,20,0,1,1.161630666,25,F
4,1,22,1,0,-1.22120147,25,F
4,1,23,1,0,-0.625493436,25,F
4,1,27,1,0,1.161630666,25,F
4,1,28,1,0,-1.22120147,25,F
4,1,31,1,1,-0.029785402,25,F
4,1,33,1,1,-1.22120147,25,F
4,1,35,1,1,-1.22120147,25,F
4,1,36,1,1,-0.625493436,25,F
4,1,38,1,1,-1.22120147,25,F
4,1,40,1,1,-1.22120147,25,F
5,1,2,0,0,1.148951983,25,M
5,1,4,0,0,1.148951983,25,M
5,1,7,0,0,1.148951983,25,M
5,1,8,0,0,1.148951983,25,M
5,1,9,0,0,-1.291300016,25,M
5,1,12,0,1,-0.884591349,25,M
5,1,13,0,1,-0.884591349,25,M
5,1,14,0,1,0.742243316,25,M
5,1,17,0,1,-1.291300016,25,M
5,1,19,0,1,0.742243316,25,M
5,1,21,1,0,-1.291300016,25,M
5,1,23,1,0,1.148951983,25,M
5,1,24,1,0,0.33553465,25,M
5,1,25,1,0,-0.071174017,25,M
5,1,28,1,0,-0.884591349,25,M
5,1,32,1,1,-1.291300016,25,M
5,1,33,1,1,-1.291300016,25,M
5,1,35,1,1,-1.291300016,25,M
5,1,37,1,1,-0.071174017,25,M
5,1,39,1,1,1.148951983,25,M
5,1,40,1,1,-0.477882683,25,M
6,1,3,0,0,1.384396234,25,M
6,1,6,0,0,0.625822955,25,M
6,1,7,0,0,-0.891323603,25,M
6,1,10,0,0,2.142969513,25,M
6,1,11,0,1,0.625822955,25,M
6,1,15,0,1,-0.132750324,25,M
6,1,17,0,1,-1.649896882,25,M
6,1,22,1,0,-0.132750324,25,M
6,1,24,1,0,-0.891323603,25,M
6,1,25,1,0,-0.891323603,25,M
6,1,26,1,0,1.384396234,25,M
6,1,28,1,0,-0.891323603,25,M
6,1,30,1,0,-0.132750324,25,M
6,1,32,1,1,0.625822955,25,M
6,1,34,1,1,-1.649896882,25,M
6,1,35,1,1,-0.891323603,25,M
6,1,37,1,1,-0.891323603,25,M
6,1,38,1,1,-0.891323603,25,M
7,1,1,0,0,-0.799427612,25,F
